EventId,Date,Time,Period,Actual,Forecast,Previous
CAD::wholesale sales::m/m,2007-05-01,17:00,apr,-1.30%,,1.10%
USD::fed's balance sheet::none,2007-05-03,04:30,,890.86B,,879.69B
USD::nonfarm payrolls::none,2007-05-04,20:30,apr,80K,,180K
USD::u.s. baker hughes oil rig count::none,2007-05-05,01:00,,282,,283
USD::cftc crude oil speculative net positions::none,2007-05-05,04:30,,66.1k,,63.8k
USD::fed's balance sheet::none,2007-05-10,04:30,,875.27B,,890.86B
USD::u.s. baker hughes oil rig count::none,2007-05-12,01:00,,282,,282
USD::cftc crude oil speculative net positions::none,2007-05-12,04:30,,56.0k,,66.1k
USD::cpi::m/m,2007-05-15,20:30,apr,0.3%,,0.5%
USD::cpi::y/y,2007-05-15,20:30,apr,2.6%,,2.8%
USD::core cpi::m/m,2007-05-15,20:30,apr,0.2%,,0.1%
USD::core cpi::y/y,2007-05-15,20:30,apr,2.3%,,2.5%
ILS::cpi::y/y,2007-05-15,23:00,apr,-1.3%,,-0.9%
USD::fed's balance sheet::none,2007-05-17,04:30,,859.56B,,875.27B
USD::us leading index::m/m,2007-05-17,23:00,apr,-0.5%,-0.1%,0.6%
CNY::pboc interest rate::none,2007-05-18,18:00,,6.57%,,6.39%
USD::u.s. baker hughes oil rig count::none,2007-05-19,01:00,,276,,282
USD::cftc crude oil speculative net positions::none,2007-05-19,04:30,,44.6k,,56.0k
USD::fed's balance sheet::none,2007-05-24,04:30,,873.94B,,859.56B
EUR::german ifo business climate index::none,2007-05-24,17:00,,108.6,108.9,108.6
USD::u.s. baker hughes oil rig count::none,2007-05-26,01:00,,287,,276
USD::cftc crude oil speculative net positions::none,2007-05-26,04:30,,53.5k,,44.6k
USD::fed's balance sheet::none,2007-05-31,04:30,,876.99B,,873.94B
USD::10 - year note auction::none,2007-06-01,17:00,may,4.50%,,4.63%
USD::5 - year note auction::none,2007-06-01,17:00,may,4.75%,,4.50%
USD::all car sales::none,2007-06-01,17:00,may,7.85M,,7.44M
USD::all truck sales::none,2007-06-01,17:00,may,8.44M,,8.77M
GBP::average earnings index +bonus::none,2007-06-01,17:00,may,4.40%,,5.40%
GBP::average earnings ex bonus::none,2007-06-01,17:00,may,4.10%,,4.00%
USD::average hourly earnings::m/m,2007-06-01,17:00,may,0.30%,,0.20%
USD::average weekly hours::none,2007-06-01,17:00,may,34.60,,34.50
GBP::brc retail sales monitor::y/y,2007-06-01,17:00,may,1.80%,,2.40%
CAD::boc interest rate decision::none,2007-06-01,17:00,may,4.25%,,4.25%
GBP::boe consumer credit::none,2007-06-01,17:00,may,0.57B,,0.89B
GBP::boe interest rate decision::none,2007-06-01,17:00,may,5.50%,,5.25%
CAD::budget balance::none,2007-06-01,17:00,may,0.76B,,2.02B
CAD::budget balance::y/y,2007-06-01,17:00,may,2.78B,,2.02B
CAD::building permits::m/m,2007-06-01,17:00,may,23.30%,,-7.30%
USD::business inventories::m/m,2007-06-01,17:00,may,0.70%,,0.50%
USD::cb consumer confidence::none,2007-06-01,17:00,may,108.50,,106.30
USD::cb employment trends index::none,2007-06-01,17:00,may,127.50,,127.60
GBP::cbi distributive trades survey::none,2007-06-01,17:00,may,31.00,,44.00
GBP::cbi industrial trends orders::none,2007-06-01,17:00,may,5.00,,2.00
CAD::cpi::m/m,2007-06-01,17:00,may,0.40%,,0.50%
GBP::cpi::m/m,2007-06-01,17:00,may,0.30%,,0.30%
MXN::cpi::m/m,2007-06-01,17:00,may,-0.49%,,-0.06%
CAD::cpi::y/y,2007-06-01,17:00,may,2.20%,,2.20%
GBP::cpi::y/y,2007-06-01,17:00,may,2.50%,,2.80%
MXN::cpi::y/y,2007-06-01,17:00,may,3.95%,,3.99%
"USD::cpi index, n.s.a.::none",2007-06-01,17:00,may,207.95,,206.69
USD::capacity utilization rate::none,2007-06-01,17:00,may,80.70%,,80.80%
USD::chain store sales::m/m,2007-06-01,17:00,may,2.50%,,-1.90%
USD::chain store sales::w/w,2007-06-01,17:00,may,-0.34%,,0.09%
USD::chain store sales::y/y,2007-06-01,17:00,may,2.30%,,2.53%
USD::challenger job cuts::none,2007-06-01,17:00,may,71.12K,,70.67K
USD::chicago fed national activity::none,2007-06-01,17:00,may,0.00,,-0.18
USD::chicago pmi::none,2007-06-01,17:00,may,60.60,,54.20
GBP::claimant count change::none,2007-06-01,17:00,may,-7.40K,,-18.60K
USD::cleveland cpi::m/m,2007-06-01,17:00,may,0.20%,,0.20%
USD::construction spending::m/m,2007-06-01,17:00,may,0.80%,,-0.70%
MXN::consumer confidence::none,2007-06-01,17:00,may,106.80,,106.40
SEK::consumer confidence::none,2007-06-01,17:00,may,110.00,,116.10
MXN::consumer confidence n.s.a.::none,2007-06-01,17:00,may,107.30,,106.30
USD::consumer credit::none,2007-06-01,17:00,may,16.64B,,8.19B
USD::continuing jobless claims::none,2007-06-01,17:00,may,"2,449.30K",,"2,492.81K"
CAD::core cpi::m/m,2007-06-01,17:00,may,0.30%,,0.10%
MXN::core cpi::m/m,2007-06-01,17:00,may,0.20%,,0.19%
CAD::core cpi::y/y,2007-06-01,17:00,may,2.20%,,2.50%
USD::core cpi index::none,2007-06-01,17:00,may,210.06,,209.75
USD::core pce price index::m/m,2007-06-01,17:00,may,0.10%,,0.10%
USD::core pce price index::y/y,2007-06-01,17:00,may,2.00%,,2.10%
GBP::core ppi output::m/m,2007-06-01,17:00,may,0.00%,,0.00%
GBP::core ppi output::y/y,2007-06-01,17:00,may,1.30%,,1.30%
GBP::core rpi::m/m,2007-06-01,17:00,may,0.40%,,0.50%
GBP::core rpi::y/y,2007-06-01,17:00,may,3.30%,,3.60%
CAD::core retail sales::m/m,2007-06-01,17:00,may,1.00%,,0.90%
GBP::core retail sales::m/m,2007-06-01,17:00,may,-0.40%,,0.30%
USD::core retail sales::m/m,2007-06-01,17:00,may,1.30%,,-0.60%
GBP::core retail sales::y/y,2007-06-01,17:00,may,2.70%,,3.50%
USD::crude oil inventories::none,2007-06-01,17:00,may,1.21M,,0.96M
USD::dallas fed mfg business index::none,2007-06-01,17:00,may,12.00,,9.00
USD::dallas fed pce::none,2007-06-01,17:00,may,1.60%,,1.80%
USD::dallas fed services revenues::none,2007-06-01,17:00,may,36.30,,8.40
USD::domestic truck sales::none,2007-06-01,17:00,may,7.09M,,7.40M
USD::durables excluding defense::m/m,2007-06-01,17:00,may,-3.10%,,1.00%
USD::eia weekly distillates stocks::none,2007-06-01,17:00,may,0.97M,,-0.12M
MXN::economic activity::m/m,2007-06-01,17:00,may,0.21%,,0.61%
MXN::economic activity::y/y,2007-06-01,17:00,may,2.17%,,3.32%
CAD::employment change::none,2007-06-01,17:00,may,23.10K,,-15.00K
USD::existing home sales::none,2007-06-01,17:00,may,5.27M,,5.29M
USD::existing home sales::m/m,2007-06-01,17:00,may,-0.40%,,-3.10%
USD::export price index::m/m,2007-06-01,17:00,may,0.30%,,0.40%
CAD::exports::none,2007-06-01,17:00,may,39.83B,,40.63B
USD::factory orders::m/m,2007-06-01,17:00,may,-0.60%,,1.30%
USD::factory orders ex transportation::m/m,2007-06-01,17:00,may,0.80%,,1.10%
USD::federal budget balance::none,2007-06-01,17:00,may,-67.70B,,177.70B
MXN::fiscal balance::none,2007-06-01,17:00,may,13.84B,,35.66B
CAD::foreign securities purchases::none,2007-06-01,17:00,may,-2.66B,,2.62B
CAD::foreign securities purchases by canadians::none,2007-06-01,17:00,may,6.57B,,12.55B
CAD::full employment change::none,2007-06-01,17:00,may,61.80K,,-22.80K
CAD::gdp::m/m,2007-06-01,17:00,may,0.30%,,0.10%
USD::gasoline inventories::none,2007-06-01,17:00,may,1.67M,,-2.86M
GBP::gfk consumer confidence::none,2007-06-01,17:00,may,-2.00,,-6.00
USD::government payrolls::none,2007-06-01,17:00,may,18.00K,,26.00K
MXN::gross fixed investments::m/m,2007-06-01,17:00,may,-1.59%,,1.87%
MXN::gross fixed investments::y/y,2007-06-01,17:00,may,4.31%,,6.76%
GBP::halifax house price index::m/m,2007-06-01,17:00,may,0.20%,,1.10%
GBP::halifax house price index::y/y,2007-06-01,17:00,may,10.60%,,10.90%
USD::house price index::none,2007-06-01,17:00,may,225.90,,226.90
USD::house price index::m/m,2007-06-01,17:00,may,-0.50%,,0.00%
USD::house price index::y/y,2007-06-01,17:00,may,1.10%,,1.90%
CAD::housing starts::none,2007-06-01,17:00,may,237.50K,,227.50K
USD::housing starts::none,2007-06-01,17:00,may,1.42M,,1.49M
USD::housing starts::m/m,2007-06-01,17:00,may,-5.00%,,-0.30%
CAD::ippi::m/m,2007-06-01,17:00,may,-0.40%,,0.30%
CAD::ippi::y/y,2007-06-01,17:00,may,3.10%,,3.70%
USD::ism manufacturing employment::none,2007-06-01,17:00,may,52.20,,51.90
USD::ism manufacturing new orders index::none,2007-06-01,17:00,may,58.60,,57.40
USD::ism manufacturing pmi::none,2007-06-01,17:00,may,52.50,,52.60
USD::ism manufacturing prices::none,2007-06-01,17:00,may,71.00,,73.00
USD::ism non - manufacturing business activity::none,2007-06-01,17:00,may,58.10,,56.10
USD::ism non - manufacturing employment::none,2007-06-01,17:00,may,52.20,,51.10
USD::ism non - manufacturing new orders::none,2007-06-01,17:00,may,57.10,,54.90
USD::ism non - manufacturing pmi::none,2007-06-01,17:00,may,54.20,,53.30
USD::ism non - manufacturing prices::none,2007-06-01,17:00,may,63.20,,62.10
USD::ism - new york index::none,2007-06-01,17:00,may,431.90,,439.70
USD::import price index::m/m,2007-06-01,17:00,may,0.90%,,1.40%
CAD::imports::none,2007-06-01,17:00,may,34.49B,,35.06B
GBP::industrial production::m/m,2007-06-01,17:00,may,1.60%,,-0.50%
MXN::industrial production::m/m,2007-06-01,17:00,may,-0.11%,,-0.48%
USD::industrial production::m/m,2007-06-01,17:00,may,0.00%,,0.70%
GBP::industrial production::y/y,2007-06-01,17:00,may,1.80%,,0.10%
MXN::industrial production::y/y,2007-06-01,17:00,may,0.59%,,1.82%
USD::initial jobless claims::none,2007-06-01,17:00,may,305.96K,,319.29K
MXN::interest rate decision::none,2007-06-01,17:00,may,7.25%,,7.25%
CAD::ivey pmi n.s.a::none,2007-06-01,17:00,may,62.70,,60.90
USD::jolts job openings::none,2007-06-01,17:00,may,4.53M,,4.53M
USD::jobless claims 4 - week avg.::none,2007-06-01,17:00,may,305.83K,,317.73K
USD::kc fed composite index::none,2007-06-01,17:00,may,9.00,,11.00
USD::kc fed manufacturing index::none,2007-06-01,17:00,may,14.00,,21.00
GBP::m4 money supply::m/m,2007-06-01,17:00,may,1.30%,,1.30%
USD::mba 30 - year mortgage rate::none,2007-06-01,17:00,may,6.23%,,6.16%
USD::mba purchase index::none,2007-06-01,17:00,may,433.68,,413.40
USD::manufacturing payrolls::none,2007-06-01,17:00,may,-16.00K,,-25.00K
GBP::manufacturing production::m/m,2007-06-01,17:00,may,0.70%,,0.30%
USD::manufacturing production::m/m,2007-06-01,17:00,may,-0.10%,,0.70%
GBP::manufacturing production::y/y,2007-06-01,17:00,may,1.30%,,1.10%
CAD::manufacturing sales::m/m,2007-06-01,17:00,may,-1.10%,,-0.40%
USD::michigan 1 - year inflation expectations::none,2007-06-01,17:00,may,3.30%,,3.30%
USD::michigan 5 - year inflation expectations::none,2007-06-01,17:00,may,3.10%,,3.10%
USD::michigan consumer expectations::none,2007-06-01,17:00,may,79.00,,75.90
USD::michigan consumer sentiment::none,2007-06-01,17:00,may,88.30,,85.30
USD::michigan current conditions::none,2007-06-01,17:00,may,105.10,,102.40
USD::midwest manufacturing::none,2007-06-01,17:00,may,100.80,,100.90
GBP::mortgage approvals::none,2007-06-01,17:00,may,113.33K,,108.79K
GBP::mortgage lending::none,2007-06-01,17:00,may,9.02B,,8.56B
USD::mortgage market index::none,2007-06-01,17:00,may,661.50,,648.53
USD::mortgage refinance index::none,2007-06-01,17:00,may,"2,009.27",,"2,034.25"
USD::nahb housing market index::none,2007-06-01,17:00,may,30.00,,33.00
USD::nfib small business optimism::none,2007-06-01,17:00,may,97.20,,96.80
USD::ny empire state manufacturing index::none,2007-06-01,17:00,may,9.94,,3.80
GBP::nationwide hpi::m/m,2007-06-01,17:00,may,0.40%,,0.90%
GBP::nationwide hpi::y/y,2007-06-01,17:00,may,10.30%,,10.20%
USD::natural gas storage::none,2007-06-01,17:00,may,102.35B,,24.10B
USD::new home sales::none,2007-06-01,17:00,may,842.00K,,887.00K
USD::new home sales::m/m,2007-06-01,17:00,may,-5.10%,,6.50%
CAD::new housing price index::m/m,2007-06-01,17:00,may,1.00%,,0.80%
USD::overall net capital flow::none,2007-06-01,17:00,may,101.40B,,84.10B
GBP::ppi input::m/m,2007-06-01,17:00,may,0.40%,,0.30%
GBP::ppi input::y/y,2007-06-01,17:00,may,0.40%,,-1.90%
GBP::ppi output::m/m,2007-06-01,17:00,may,0.30%,,0.30%
GBP::ppi output::y/y,2007-06-01,17:00,may,1.60%,,1.60%
CAD::part time employment change::none,2007-06-01,17:00,may,-38.80K,,7.80K
CAD::participation rate::none,2007-06-01,17:00,may,67.30%,,67.40%
USD::pending home sales::m/m,2007-06-01,17:00,may,-2.10%,,-3.50%
USD::pending home sales index::none,2007-06-01,17:00,may,98.80,,100.90
USD::personal income::m/m,2007-06-01,17:00,may,0.20%,,0.20%
USD::personal spending::m/m,2007-06-01,17:00,may,0.40%,,0.40%
USD::philadelphia fed manufacturing index::none,2007-06-01,17:00,may,3.80,,2.90
USD::philly fed business conditions::none,2007-06-01,17:00,may,22.70,,22.60
USD::philly fed capex index::none,2007-06-01,17:00,may,12.20,,14.90
USD::philly fed employment::none,2007-06-01,17:00,may,9.90,,8.30
USD::philly fed new orders::none,2007-06-01,17:00,may,8.20,,4.90
USD::philly fed prices paid::none,2007-06-01,17:00,may,27.50,,26.40
USD::private nonfarm payrolls::none,2007-06-01,17:00,may,127.00K,,52.00K
GBP::public sector net borrowing::none,2007-06-01,17:00,may,8.85B,,0.20B
GBP::public sector net cash requirement::none,2007-06-01,17:00,may,6.29B,,-3.61B
CAD::rmpi::m/m,2007-06-01,17:00,may,-0.40%,,3.60%
CAD::rmpi::y/y,2007-06-01,17:00,may,1.40%,,8.60%
GBP::rpi::m/m,2007-06-01,17:00,may,0.40%,,0.50%
GBP::rpi::y/y,2007-06-01,17:00,may,4.30%,,4.50%
USD::real earnings::m/m,2007-06-01,17:00,may,0.20%,,-0.30%
USD::real personal consumption::m/m,2007-06-01,17:00,may,0.10%,,0.20%
USD::redbook::m/m,2007-06-01,17:00,may,1.17%,,-2.89%
USD::redbook::y/y,2007-06-01,17:00,may,1.87%,,1.22%
USD::retail control::m/m,2007-06-01,17:00,may,0.60%,,-0.50%
CAD::retail sales::m/m,2007-06-01,17:00,may,1.20%,,1.40%
GBP::retail sales::m/m,2007-06-01,17:00,may,-0.50%,,0.40%
USD::retail sales::m/m,2007-06-01,17:00,may,1.30%,,-0.40%
GBP::retail sales::y/y,2007-06-01,17:00,may,2.70%,,3.90%
USD::retail sales ex gas/autos::m/m,2007-06-01,17:00,may,0.80%,,-0.80%
USD::richmond manufacturing index::none,2007-06-01,17:00,may,-10.00,,-10.00
USD::richmond manufacturing shipments::none,2007-06-01,17:00,may,-9.00,,-13.00
USD::richmond services index::none,2007-06-01,17:00,may,5.00,,3.00
USD::s&p/cs hpi composite - 20 n.s.a.::m/m,2007-06-01,17:00,may,-0.20%,,-0.20%
USD::s&p/cs hpi composite - 20 n.s.a.::y/y,2007-06-01,17:00,may,-2.80%,,-2.10%
USD::s&p/cs hpi composite - 20 s.a.::m/m,2007-06-01,17:00,may,-0.90%,,-0.70%
USD::tic net long - term transactions::none,2007-06-01,17:00,may,135.80B,,83.80B
USD::tic net long - term transactions including swaps::none,2007-06-01,17:00,may,116.10B,,70.70B
USD::texas services sector outlook::none,2007-06-01,17:00,may,10.90,,7.70
CAD::trade balance::none,2007-06-01,17:00,may,5.34B,,5.57B
GBP::trade balance::none,2007-06-01,17:00,may,-7.69B,,-7.02B
MXN::trade balance::none,2007-06-01,17:00,may,-0.72B,,-0.76B
USD::trade balance::none,2007-06-01,17:00,may,-59.30B,,-60.50B
MXN::trade balance (usd)::none,2007-06-01,17:00,may,-1.33B,,-1.49B
GBP::trade balance non - eu::none,2007-06-01,17:00,may,-4.23B,,-3.28B
"USD::us foreign buying, t - bonds::none",2007-06-01,17:00,may,22.70B,,0.50B
CAD::unemployment rate::none,2007-06-01,17:00,may,6.00%,,6.20%
GBP::unemployment rate::none,2007-06-01,17:00,may,5.40%,,5.50%
MXN::unemployment rate::none,2007-06-01,17:00,may,3.50%,,3.68%
MXN::unemployment rate n.s.a.::none,2007-06-01,17:00,may,3.15%,,3.51%
USD::wholesale inventories::m/m,2007-06-01,17:00,may,0.40%,,0.30%
CAD::wholesale sales::m/m,2007-06-01,17:00,may,0.20%,,-1.30%
USD::u.s. baker hughes oil rig count::none,2007-06-02,01:00,,288,,287
USD::cftc crude oil speculative net positions::none,2007-06-02,04:30,,35.2k,,53.5k
USD::fed's balance sheet::none,2007-06-07,04:30,,872.71B,,876.99B
USD::u.s. baker hughes oil rig count::none,2007-06-09,01:00,,291,,288
USD::cftc crude oil speculative net positions::none,2007-06-09,04:30,,54.9k,,35.2k
EUR::deposit facility rate::none,2007-06-13,20:45,,3.00%,,2.75%
USD::fed's balance sheet::none,2007-06-14,04:30,,864.99B,,872.71B
USD::cpi::m/m,2007-06-15,20:30,may,0.4%,,0.3%
USD::cpi::y/y,2007-06-15,20:30,may,2.7%,,2.6%
USD::core cpi::m/m,2007-06-15,20:30,may,0.1%,,0.2%
USD::core cpi::y/y,2007-06-15,20:30,may,2.2%,,2.3%
ILS::cpi::y/y,2007-06-15,23:00,may,-1.3%,,-1.3%
USD::u.s. baker hughes oil rig count::none,2007-06-16,01:00,,285,,291
USD::cftc crude oil speculative net positions::none,2007-06-16,04:30,,64.5k,,54.9k
USD::fed's balance sheet::none,2007-06-21,04:30,,866.09B,,864.99B
USD::us leading index::m/m,2007-06-21,23:00,may,0.3%,0.2%,-0.3%
EUR::german ifo business climate index::none,2007-06-22,17:00,,107,108.4,108.6
USD::u.s. baker hughes oil rig count::none,2007-06-23,01:00,,271,,285
USD::cftc crude oil speculative net positions::none,2007-06-23,04:30,,67.4k,,64.5k
USD::fed's balance sheet::none,2007-06-28,04:30,,865.11B,,866.09B
USD::u.s. baker hughes oil rig count::none,2007-06-30,01:00,,281,,271
USD::cftc crude oil speculative net positions::none,2007-06-30,04:30,,67.2k,,67.4k
USD::10 - year note auction::none,2007-07-01,17:00,jun,4.50%,,4.50%
USD::5 - year note auction::none,2007-07-01,17:00,jun,4.88%,,4.75%
USD::all car sales::none,2007-07-01,17:00,jun,7.52M,,7.85M
USD::all truck sales::none,2007-07-01,17:00,jun,8.30M,,8.44M
GBP::average earnings index +bonus::none,2007-07-01,17:00,jun,4.30%,,4.40%
GBP::average earnings ex bonus::none,2007-07-01,17:00,jun,4.10%,,4.10%
USD::average hourly earnings::m/m,2007-07-01,17:00,jun,0.60%,,0.30%
USD::average weekly hours::none,2007-07-01,17:00,jun,34.60,,34.60
GBP::brc retail sales monitor::y/y,2007-07-01,17:00,jun,3.00%,,1.80%
CAD::boc interest rate decision::none,2007-07-01,17:00,jun,4.25%,,4.25%
GBP::boe consumer credit::none,2007-07-01,17:00,jun,0.72B,,0.57B
GBP::boe interest rate decision::none,2007-07-01,17:00,jun,5.50%,,5.50%
CAD::budget balance::none,2007-07-01,17:00,jun,2.82B,,0.76B
CAD::budget balance::y/y,2007-07-01,17:00,jun,5.60B,,2.78B
CAD::building permits::m/m,2007-07-01,17:00,jun,-2.20%,,23.30%
USD::business inventories::m/m,2007-07-01,17:00,jun,0.50%,,0.70%
USD::cb consumer confidence::none,2007-07-01,17:00,jun,105.30,,108.50
USD::cb employment trends index::none,2007-07-01,17:00,jun,127.60,,127.50
GBP::cbi distributive trades survey::none,2007-07-01,17:00,jun,17.00,,31.00
GBP::cbi industrial trends orders::none,2007-07-01,17:00,jun,8.00,,5.00
CAD::cpi::m/m,2007-07-01,17:00,jun,-0.20%,,0.40%
GBP::cpi::m/m,2007-07-01,17:00,jun,0.20%,,0.30%
MXN::cpi::m/m,2007-07-01,17:00,jun,0.12%,,-0.49%
CAD::cpi::y/y,2007-07-01,17:00,jun,2.20%,,2.20%
GBP::cpi::y/y,2007-07-01,17:00,jun,2.40%,,2.50%
MXN::cpi::y/y,2007-07-01,17:00,jun,3.98%,,3.95%
"USD::cpi index, n.s.a.::none",2007-07-01,17:00,jun,208.35,,207.95
USD::capacity utilization rate::none,2007-07-01,17:00,jun,80.60%,,80.70%
USD::chain store sales::m/m,2007-07-01,17:00,jun,2.40%,,2.50%
USD::chain store sales::w/w,2007-07-01,17:00,jun,0.05%,,-0.34%
USD::chain store sales::y/y,2007-07-01,17:00,jun,2.06%,,2.30%
USD::challenger job cuts::none,2007-07-01,17:00,jun,55.73K,,71.12K
USD::chicago fed national activity::none,2007-07-01,17:00,jun,-0.26,,0.00
USD::chicago pmi::none,2007-07-01,17:00,jun,58.30,,60.60
GBP::claimant count change::none,2007-07-01,17:00,jun,-8.90K,,-7.40K
USD::cleveland cpi::m/m,2007-07-01,17:00,jun,0.30%,,0.20%
USD::construction spending::m/m,2007-07-01,17:00,jun,-0.10%,,0.80%
MXN::consumer confidence::none,2007-07-01,17:00,jun,105.70,,106.80
SEK::consumer confidence::none,2007-07-01,17:00,jun,114.00,,110.00
MXN::consumer confidence n.s.a.::none,2007-07-01,17:00,jun,105.20,,107.30
USD::consumer credit::none,2007-07-01,17:00,jun,10.67B,,16.64B
USD::continuing jobless claims::none,2007-07-01,17:00,jun,"2,487.71K",,"2,449.30K"
CAD::core cpi::m/m,2007-07-01,17:00,jun,0.00%,,0.30%
MXN::core cpi::m/m,2007-07-01,17:00,jun,0.29%,,0.20%
CAD::core cpi::y/y,2007-07-01,17:00,jun,2.50%,,2.20%
USD::core cpi index::none,2007-07-01,17:00,jun,210.39,,210.06
USD::core pce price index::m/m,2007-07-01,17:00,jun,0.20%,,0.10%
USD::core pce price index::y/y,2007-07-01,17:00,jun,1.90%,,2.00%
GBP::core ppi output::m/m,2007-07-01,17:00,jun,0.10%,,0.00%
GBP::core ppi output::y/y,2007-07-01,17:00,jun,1.30%,,1.30%
GBP::core rpi::m/m,2007-07-01,17:00,jun,0.40%,,0.40%
GBP::core rpi::y/y,2007-07-01,17:00,jun,3.30%,,3.30%
CAD::core retail sales::m/m,2007-07-01,17:00,jun,-0.50%,,1.00%
GBP::core retail sales::m/m,2007-07-01,17:00,jun,0.20%,,-0.40%
USD::core retail sales::m/m,2007-07-01,17:00,jun,-0.30%,,1.30%
GBP::core retail sales::y/y,2007-07-01,17:00,jun,2.40%,,2.70%
USD::crude oil inventories::none,2007-07-01,17:00,jun,2.79M,,1.21M
USD::dallas fed mfg business index::none,2007-07-01,17:00,jun,9.20,,12.00
USD::dallas fed pce::none,2007-07-01,17:00,jun,2.50%,,1.60%
USD::dallas fed services revenues::none,2007-07-01,17:00,jun,18.60,,36.30
USD::domestic truck sales::none,2007-07-01,17:00,jun,6.90M,,7.09M
USD::durables excluding defense::m/m,2007-07-01,17:00,jun,2.10%,,-3.10%
USD::eia weekly distillates stocks::none,2007-07-01,17:00,jun,-0.07M,,0.97M
MXN::economic activity::m/m,2007-07-01,17:00,jun,0.36%,,0.21%
MXN::economic activity::y/y,2007-07-01,17:00,jun,2.85%,,2.17%
CAD::employment change::none,2007-07-01,17:00,jun,57.30K,,23.10K
USD::existing home sales::none,2007-07-01,17:00,jun,5.12M,,5.27M
USD::existing home sales::m/m,2007-07-01,17:00,jun,-2.80%,,-0.40%
USD::export price index::m/m,2007-07-01,17:00,jun,0.40%,,0.30%
CAD::exports::none,2007-07-01,17:00,jun,38.52B,,39.83B
USD::factory orders::m/m,2007-07-01,17:00,jun,0.80%,,-0.60%
USD::factory orders ex transportation::m/m,2007-07-01,17:00,jun,-0.60%,,0.80%
USD::federal budget balance::none,2007-07-01,17:00,jun,27.50B,,-67.70B
MXN::fiscal balance::none,2007-07-01,17:00,jun,-40.58B,,13.84B
CAD::foreign securities purchases::none,2007-07-01,17:00,jun,-1.50B,,-2.66B
CAD::foreign securities purchases by canadians::none,2007-07-01,17:00,jun,5.18B,,6.57B
CAD::full employment change::none,2007-07-01,17:00,jun,103.60K,,61.80K
CAD::gdp::m/m,2007-07-01,17:00,jun,0.30%,,0.30%
USD::gasoline inventories::none,2007-07-01,17:00,jun,0.86M,,1.67M
GBP::gfk consumer confidence::none,2007-07-01,17:00,jun,-3.00,,-2.00
USD::government payrolls::none,2007-07-01,17:00,jun,14.00K,,18.00K
MXN::gross fixed investments::m/m,2007-07-01,17:00,jun,-0.48%,,-1.59%
MXN::gross fixed investments::y/y,2007-07-01,17:00,jun,3.26%,,4.31%
GBP::halifax house price index::m/m,2007-07-01,17:00,jun,0.50%,,0.20%
GBP::halifax house price index::y/y,2007-07-01,17:00,jun,10.70%,,10.60%
USD::house price index::none,2007-07-01,17:00,jun,225.10,,225.90
USD::house price index::m/m,2007-07-01,17:00,jun,-0.40%,,-0.50%
USD::house price index::y/y,2007-07-01,17:00,jun,0.80%,,1.10%
CAD::housing starts::none,2007-07-01,17:00,jun,229.40K,,237.50K
USD::housing starts::none,2007-07-01,17:00,jun,1.45M,,1.42M
USD::housing starts::m/m,2007-07-01,17:00,jun,2.30%,,-5.00%
CAD::ippi::m/m,2007-07-01,17:00,jun,-1.10%,,-0.40%
CAD::ippi::y/y,2007-07-01,17:00,jun,2.10%,,3.10%
USD::ism manufacturing employment::none,2007-07-01,17:00,jun,51.90,,52.20
USD::ism manufacturing new orders index::none,2007-07-01,17:00,jun,57.70,,58.60
USD::ism manufacturing pmi::none,2007-07-01,17:00,jun,52.60,,52.50
USD::ism manufacturing prices::none,2007-07-01,17:00,jun,68.00,,71.00
USD::ism non - manufacturing business activity::none,2007-07-01,17:00,jun,60.10,,58.10
USD::ism non - manufacturing employment::none,2007-07-01,17:00,jun,53.30,,52.20
USD::ism non - manufacturing new orders::none,2007-07-01,17:00,jun,57.20,,57.10
USD::ism non - manufacturing pmi::none,2007-07-01,17:00,jun,55.30,,54.20
USD::ism non - manufacturing prices::none,2007-07-01,17:00,jun,61.90,,63.20
USD::ism - new york index::none,2007-07-01,17:00,jun,434.40,,431.90
USD::import price index::m/m,2007-07-01,17:00,jun,1.20%,,0.90%
CAD::imports::none,2007-07-01,17:00,jun,34.75B,,34.49B
GBP::industrial production::m/m,2007-07-01,17:00,jun,-1.10%,,1.60%
MXN::industrial production::m/m,2007-07-01,17:00,jun,0.18%,,-0.11%
USD::industrial production::m/m,2007-07-01,17:00,jun,0.00%,,0.00%
GBP::industrial production::y/y,2007-07-01,17:00,jun,0.10%,,1.80%
MXN::industrial production::y/y,2007-07-01,17:00,jun,0.66%,,0.59%
USD::initial jobless claims::none,2007-07-01,17:00,jun,315.62K,,305.96K
MXN::interest rate decision::none,2007-07-01,17:00,jun,7.25%,,7.25%
CAD::ivey pmi n.s.a::none,2007-07-01,17:00,jun,67.40,,62.70
USD::jolts job openings::none,2007-07-01,17:00,jun,4.64M,,4.53M
USD::jobless claims 4 - week avg.::none,2007-07-01,17:00,jun,313.69K,,305.83K
USD::kc fed composite index::none,2007-07-01,17:00,jun,5.00,,9.00
USD::kc fed manufacturing index::none,2007-07-01,17:00,jun,-5.00,,14.00
GBP::m4 money supply::m/m,2007-07-01,17:00,jun,0.90%,,1.30%
USD::mba 30 - year mortgage rate::none,2007-07-01,17:00,jun,6.57%,,6.23%
USD::mba purchase index::none,2007-07-01,17:00,jun,444.89,,433.68
USD::manufacturing payrolls::none,2007-07-01,17:00,jun,-18.00K,,-16.00K
